Authors,Journal,YearPublication,DOI.ISBN
Mollet; Cailliet,Mar Freshwater Res,2002,10.1071/MF01083
Unger; Sutton; Williams,J Nat Cons,2013,10.1016/j.jnc.2013.06.002
Gamelon; Gaillard; Servanty; Gimenez; Toigo; Baubet; Klein; Lebreton,J Appl Ecol,2012,10.1111/j.1365-2664.2012.02160.x
Smith; Webb,Aust Wildlife Res,1985,10.1071/wr9850541
Heppel; Limpus; Crouse; Frazer; Crowder,Wildlife Research,1996,10.2307/1447430
Ballard; Whitman; Reed,Wildlife Monogr,1991,10.2307/3830713
Luo; Fox,J Mamm,1990,10.2307/1381947
Edmunds,Limnol Oceanogr,2015,10.1002/lno.10075
Zajac; Whitlatch,Mar Ecol Prog Ser,1989,10.3354/meps057089
Wielgus; Morrison; Cooley; Maletzke,Biol Cons,2013,10.1016/j.biocon.2013.07.008
Dudas; Dower; Anholt,Ecology,2007,10.1890/06-1216.1
Gotelli,Ecology,1991,10.1046/j.1461-0248.2000.00138.x
Congdon; Dunham; van Loben Sels,Am Zool,1994,10.1093/icb/34.3.397
Miller; Tietge; McMaster; Munkittrick; Xia; Griesmer; Ankley,Env Tox,2015,10.1002/etc.2972
McFadden,Ecology,1991,10.2307/1940983
Pease; Mattson,Ecology,1999,10.2307/177030
Johnson,Cons Biol,1999,10.1046/j.1523-1739.1999.97284.x
Wolf; Hellgren; Schauber; Bogosian III; Kazmaier; Ruthven III; Moody,Popul Ecol,2014,10.1007/s10144-014-0450-5
Monchot; Fernandez; Gaillard,J Arch Sci,2012,10.1016/j.jas.2012.04.037
Levin; Caswell; DePatra; Creed,Ecology,1987,10.2307/1939879
Lasker,Oecologia,1991,10.1007/BF00318316
Van Sickle; Atwell; Craig,J Wildlife Manage,1987,10.2307/3801764
Woodworth,Cons Biol,1999,10.1046/j.1523-1739.1999.97267.x
Mitchell; Pacifici; Grand; Powell ,Ursus,2009,10.2192/1537-6176-20.2.77
Yearsley; Fletcher,Mat Biosci ,2002,10.1016/S0025-5564(02)00119-0
Iverson,Herpetologica,1991,10.2307/1447430
Noda; Nakao,J Anim Ecol,1996,10.2307/5722
Velez-Espino; Koops,Ecol Model,2012,10.1016/j.ecolmodel.2012.09.022
Barlow; Boneng,Mar Mammal Sci,1991,10.1111/j.1748-7692.1991.tb00550.x
Cooch; Rockwell; Brault,Ecol Monog,2001,10.2307/3100065
York,Mar Mammal Sci,1994,10.1111/j.1748-7692.1994.tb00388.x
Festa-Bianchet; Urquhart; Smith,Can J Zool,1994,10.1139/z94-004
Kessler; Pacheco; Rawlings; Ruiz-Lambrides; Delgado; Sabat,Am J Primatol,2014,10.1002/ajp.22323
Pfister,Ecology,1996,10.1007/bf02027951
Crooks; Sanjayan; Doak,Biol Cons,1998,10.1046/j.1523-1739.1998.97054.x
Johnson; Mills; Wehausen; Stephenson,Ecology,2010,10.1111/j.1365-2664.2010.01846.x
Benton; Grant; Clutton-Brock,Evol Ecol,1995,10.1007/BF01237655
Frazer; Gibbons; Greene,Ecology,1991,10.2307/1941572
Clark; Eastridge,J Wildlife Manage,2006,10.2193/0022-541X(2006)70[1094:GASOBB]2.0.CO;2
Doak; Kareiva; Klepetka,Ecol Appl,1994,10.2307/1941949
Hayes,Oecologia,1981,10.1007/BF00349187
Jorgenson; Festa-Bianchet; Gaillard; Wishart,Ecology,1997,10.1890/0012-9658(1997)078[1019:EOASDA]2.0.CO;2
Sandercock; Beissinger,J Appl Stats,2002,10.1080/02664760120108818
Ozgul; Oli; Armitage; Blumstein; Van Vuren,Am Nat,2009,10.1086/597225
Wilbur,Ecology,1975,10.2307/1935300
Crouse; Crowder; Caswell,Ecology,1987,10.2307/1939225
Altwegg; Anderson,Funct Ecol,2009,10.1111/j.1365-2435.2009.01563.x
Orive,Am Nat,1995,10.1086/285729
Finkelstein; Doak; Nakagawa; Sievert; Klavitter,Anim Conserv,2009,10.1111/j.1469-1795.2009.00311.x
Wich; Utami-Atmoko; Setia; Rijksen; Schürmann; van Hooff; van Schaik,J Hum Evol,2004,10.1016/j.jhevol.2004.08.006
Caughley,Ecology,1966,10.2307/1935638
Dobson; Oli,Am Nat,2001,10.1086/321322
Buston; Garcia,J Fish Biol,2007,10.1111/j.1095-8649.2007.01445.x
Zuniga-Vega; Mendez-dela Cruz; Cuellar,Can J Zool,2008,10.1139/Z08-124
Hiraldo; Negro; Donazar; Gaona,J Appl Ecol,1996,10.2307/2404688
Koivula; Pakanen; Rönkä; Belda,Avian Biol,2008,10.1111/j.0908-8857.2008.04189.x
Chapron; Legendre; Ferrière; Clobert; Haight,C R Biol,2003,10.1016/S1631-0691(03)00148-3
Jensen,Ecol Model,1995,10.1016/0304-3800(93)E0081-D
Mugabo; Perret; Legendre; Le Galliard,J Anim Ecol,2013,10.1111/1365-2656.12109
Howe; Marsden; Donovan; Lamberson,J Great Lakes Res,2012,10.1016/j.jglr.2011.11.002
Spinage,Ecology,1972,10.2307/1934778
Hilderbrand; Gardner; Ratnaswamy; Keller,Biol Cons,2007,10.1016/j.biocon.2007.01.015
Bronikowski; Clark; Rodd; Reznick,Ecology,2002,10.1890/0012-9658(2002)083[2194:PDCOPI]2.0.CO;2
Chandler; Cary; Bejarano; Pender; Ferry,Environ Sci Technol,2004,10.1021/es049654o
Keith; Mahony; Hines; Elith; Regan; Baumgartner; Hunter; Heard; Mitchell; Parris; Penman; Scheele; Simpson; Tingley; Tracy; West; Akcakaya,Conserv Biol,2014,10.1111/cobi.12234
Harvell; Caswell; Simpson,Oecologia,1990,10.1007/BF00323539
Tinkle; Congdon; Rosen,Ecology,1981,10.2307/1941498
Harwood,J Appl Ecol,1978,10.2307/2402601
Martinez-Gomez; Jacobsen,Biol Cons,2004,10.1016/S0006-3207(03)00171-X
Maguire; Wilhere; Dong,J Wild Manag,1995,10.2307/3802460
Marboutin; Peroux,J Appl Ecol,1995,10.2307/2404820
Frazer; Gibbons; Greene,Ecology,1990,10.2307/1447430
Sauer; Slade,J Mamm ,1985,10.2307/1381244
Meyer; Meyer; Francisco; Holder; Verdonck,PLOS One,2016,10.1371/journal.pone.0147189
Linares; Doak; Coma; Diaz; Zabala,Ecology,2007,10.1890/05-1931
Salice; Rowe; Eisenreich,Env Pollution,2013,10.1016/j.envpol.2013.08.031
Sherman; Morton,Ecology,1984,10.2307/1939140
Chelliah; Bukka; Sukumar,Biol Cons,2013,10.1016/j.biocon.2013.05.008
Zuniga-Vega; Molina-Zuluaga; Hernandez-Gallegos; Manriquez-Moran; Rodriguez-Romero; Villagran-Santa Cruz; Mendez-de la Cruz,Amphibia-Reptilia,2013,10.1163/15685381-00002843
Zammuto,Ecology,1987,10.2307/1939219
Yoccoz; Nakata; Stenseth; Saitoh,Res Popul Ecol,1998,10.1007/BF02765226
Clinton; Le Boeuf,Ecology,1993,10.2307/1939945
Vélez-Espino; Ford; Araujo; Ellis; Parken; Balcomb,Can Tech Report Fish & Aq Sci,2014,978-1-100-23563-9
Hebblewhite; Percy; Serrouya,Biol Cons,2003,10.1016/S0006-3207(02)00341-5
Baker; Mewaldt; Stewart,Ecology,1981,10.2307/1937731
Fujiwara; Mohr; Greenberg,PLOS One,2014,10.1371/jourNonel.pone.0085464
Massey; Bradley; Atwood,Condor,1992,10.2307/1369293
Klavitter; Marzluff; Vekasy,J Wild Manage,2003,10.2307/3803072
Lindenmayer; Lacy; Pope,Ecol Appl,2000,10.2307/2641117
Hernandez-Pacheco; Rawlins; Kessler; Williams; Ruiz-Maldonado; Gonzalez-Martinez; Ruiz-Lambides; Sabat,Am J Primatol,2013,10.1002/ajp.22177
Duchet; Coutellec; Franquet; Lagneau; Lagadic,Ecotoxic,2011,10.1007/s10646-010-0507-y
Babcock ,Ecol Monog,1991,10.2307/2937107
Hamda; Jevtic; Laskowski,Ecotox,2012,10.1007/s10646-012-0904-5
Hernández-Pacheco; Hernández-Delgado; Sabat,Ecosphere,2011,10.1890/ES10-00065.1
Wittmer; Powell; King,J Anim Ecol,2007,10.1111/j.1365-2656.2007.01274.x
Mitchell,Herpetol Monogr,1988,10.2307/1467026
Wilson,Cons Biol,2003,10.1046/j.1523-1739.2003.01535.x
Haines; Tewes; Laack; Grant; Young,Biol Cons,2005,10.1016/j.biocon.2005.06.032
Zamora-Abrego; Chang; Zuniga-Vega; Nieto-Montes de Oca; Johnson,Herpet,2010,10.1655/09-005.1
Heide-Jørgensen; Härkönen; Aberg,Ambio,1992,10.2307/4314005
Berryman,Can Entomol,1973,10.4039/Ent1051465-11
McMurray; Henkel; Pawlik,Ecology,2010,10.3354/meps339093
Payne,J Wildlife Manage,1984,10.2307/3808459
Crowder; Crouse; Heppell; Martin,Ecol Appl,1994,10.2307/1941948
Cropper; Di Resta,Ecol Model,1999,10.1016/S0304-3800(99)00039-3
Rodgers,Mammalia,1984,10.1515/mamm.1984.48.3.327
Wintle; Bekessy; Venier; Pearce; Chisholm,Cons Biol,2005,10.1111/j.1523-1739.2005.00276.x
Meslow; Keith,J Wildlife Manage,1968,10.2307/3799557
Nakaoka,Oikos,1997,10.2307/3546090
Lesnoff; Corniaux; Hiernaux,Ecol Model,2012,10.1016/j.ecolmodel.2012.02.018
Reynolds; Weiser; Jamieson; Hatfield,J Wild Manag,2013,10.1002/jwmg.582
Hernandez-Pacheco; Delgado; Rawlins; Kessler; Ruiz-Lambides; Maldonado; Sabat,Am J Primatol,2015,10.1002/ajp.22375
Ryberg; Hill; Painter; Fitzgerald,Cons Biol,2014,10.1111/cobi.12429
Goswami; Vasudev; Oli,Biol Cons,2014,10.1016/j.biocon.2014.05.026
Messier; Huot; Le Henaff; Luttich,Arctic,1988,10.14430/arctic1733
Tanner,J Exp Mar Biol & Ecol,1997,10.1016/S0022-0981(97)00024-5
Crowder; Crouse; Heppell; Martin,Ecol Appl,1994,10.2307/1447430
Carter; Ackleh; Leonard; Wang,Ecol Model,1999,10.1016/S0304-3800(99)00145-3
Hansen; Forbes; Forbes,Funct Ecol,1999,10.1046/j.1365-2435.1999.00299.x
Pichancourt; Burel; Auger,C R Biol,2006,10.1016/j.crvi.2005.09.009
Brousseau,Mar Biol,1978,10.1007/BF00390542
Clutton-Brock; Price; Albon; Jewell,J Anim Ecol,1992,10.2307/5330
Ebert; Russell,Mar Ecol Prog Ser,1992,10.3354/meps081031
Gleason; Nacci,Hum & Ecol Risk Assess,2001,10.1080/20018091094835
Laskowski; Hopkin,Ecotox Environ Safe,1996,10.1006/eesa.1996.0045
