classnames_first,classification,comments
"""Newborn"" colonies (primary polyps)",Post,Inferred from classname
< 0.25 cm_,Look up,
< 0.3 cm in height,Look up,
< 1 year,Post,Inferred from classname
< 1 year (pup),Post,Inferred from classname
< 1 yr old ,Post,Inferred from classname
< 1 yr old adults,Post,Inferred from classname
< 10 cm,Look up,
< 20 mm,Look up,
< 4 cm,Look up,
< 4.5 mm,Look up,
< 8 mm,Look up,
<= 40 mm,Look up,
<1 year,Post,Inferred from classname
> 1 year,Pre,Inferred from classname
>= 3 (adults),Pre,Inferred from classname
0,Post,Inferred from classname
0 days,Post,Inferred from classname
0 days old,Post,Inferred from classname
0 months,Post,Inferred from classname
0 wks,Post,Inferred from classname
0 year,Post,Inferred from classname
0 years,Post,Inferred from classname
0 years old,Post,Inferred from classname
0 yrs,Post,Inferred from classname
0 Yrs,Post,Inferred from classname
0 yrs ,Post,Inferred from classname
0 yrs Fem,Post,Inferred from classname
0 yrs female,Post,Inferred from classname
0 yrs male,Post,Inferred from classname
0-1 mm: settler,Post,Inferred from classname
0-1 year,Post,Inferred from classname
0-1 yrs,Post,Inferred from classname
0-1 yrs female,Post,Inferred from classname
0-1 yrs females,Post,Inferred from classname
0-10 cm,Look up,
0-10 cm_,Look up,
0-104,Look up,
0-15 mm,Look up,
0-2 cm diameter,Look up,
0-2 days,Post,Inferred from classname
0-2 years (subadult),Post,Inferred from classname
0-200 cm_,Look up,
0-266,Look up,
0-4 years,Post,Inferred from classname
0-5 cm,Look up,
0-5 yrs,Post,Inferred from classname
0-50 cm_,Look up,
0-50 mm^2 colony area,Look up,
0-6 months,Post,Inferred from classname
0-60 g,Look up,
0.2-1.2 mm,Look up,
0.5-4.0 cm,Look up,
0+ (juveniles),Post,Inferred from classname
1 (60-120 mm),Pre,Inferred from classname
1 year,Pre,Inferred from classname
1 Year,Pre,Inferred from classname
1 year ,Pre,Inferred from classname
1 year (juvenile),Pre,Inferred from classname
1 year old,Pre,Inferred from classname
1 year old (never reproduced so far),Pre,Inferred from classname
1 yr,Pre,Inferred from classname
1 Yrs,Pre,Inferred from classname
1-6 days,Look up,
1st year survival,Look up,
2 years,Pre,Inferred from classname
2+ (adults),Pre,Inferred from classname
25-50 mm,Look up,
2nd-year juveniles,Look up,
3 yrs recruits,Look up,
35-70 mm,Look up,
A1 - fledglings,Post,Inferred from classname
A1 - Fledglings,Post,Inferred from classname
Age 0,Post,Inferred from classname
Age 0 (0-40 mm),Post,Inferred from classname
Age 0 (0-55 mm),Post,Inferred from classname
Age 0 (0-60 mm),Post,Inferred from classname
Age 0 (0-65 mm),Post,Inferred from classname
Age 0 (0-90 mm),Post,Inferred from classname
Age 0 Juveniles,Post,Inferred from classname
Age 0 to under 1,Post,Inferred from classname
Age 0 years,Post,Inferred from classname
Age 0+,Post,Inferred from classname
Age 1,Pre,Inferred from classname
Age 1 (11 months),Pre,Inferred from classname
Age 1 year,Pre,Inferred from classname
Age class 1,Pre,Inferred from classname
Age Class 1: pre-Breeder,Pre,Inferred from classname
Age-0,Post,Inferred from classname
Age: 1 year,Pre,Inferred from classname
Base,Look up,
Born,Post,Inferred from classname
Breeding age 0,Look up,
Calf,Post,Inferred from classname
Calf (0 yrs),Post,Inferred from classname
Calf Fem,Post,Inferred from classname
Calf Female,Post,Inferred from classname
Calf: 0-1 years,Post,Inferred from classname
Calves,Post,Inferred from classname
"""Calves: unweaned,  do not make fluke-up dives""",Post,Inferred from classname
Chick,Post,Inferred from classname
Class 0: Yearling,Look up,
Class 1,Look up,
Cub,Pre,Inferred from classname
Cubs,Pre,Inferred from classname
Dummy,Look up,
Egg,Post,Inferred from classname
Egg / Hatchling,Post,Inferred from classname
Egg / small tadpole,Post,Inferred from classname
Egg-neonate,Post,Inferred from classname
Egg-neonate (<5cm CCL),Post,Inferred from classname
Egg/Larv (0-3 mm),Post,Inferred from classname
Eggs,Post,Inferred from classname
Eggs / hatchlings (0 yrs),Post,Inferred from classname
"""Eggs, hatchlings, and yearlings (0 yrs)""",Look up,
Eggs/Hatchlings (<13 cm),Post,Inferred from classname
Eggs/Larvae,Post,Inferred from classname
Embryo,Post,Inferred from classname
EPY: early pouch young,Post,Inferred from classname
F Juveniles,Look up,
Fawn (0-1 years old),Post,Inferred from classname
Female (>1mm size),Look up,
Female 0 yrs,Post,Inferred from classname
Female 0-1 yrs,Post,Inferred from classname
Female 0-4.9 yrs,Post,Inferred from classname
Female 1 yr,Pre,Inferred from classname
Female infant (0-1 yrs),Post,Inferred from classname
Female Juvenile,Look up,
Female juveniles,Look up,
Female kittens (0-11 maleths),Post,Inferred from classname
Females (incl. Juveniles),Look up,
First life stage (first and second instars),Look up,
First viremia,Look up,
First year,Look up,
First year birds,Look up,
First year individual,Look up,
First-year subadults,Look up,
First-year turtles,Look up,
Fledgling,Post,Inferred from classname
Fledgling: <1 year old,Post,Inferred from classname
Fledglings,Post,Inferred from classname
Hatchhling (<0.5m; <1year),Post,Inferred from classname
Hatchling,Post,Inferred from classname
Hatchling (0 yrs old),Post,Inferred from classname
Hatchling (plastron length < 6 cm),Post,Inferred from classname
Hatchling and oceanic juvenile,Post,Inferred from classname
I (0-50 cm_),Look up,
Immature,Look up,
"""Immatures, Zone 1""",Look up,
Infant,Post,Inferred from classname
Infant (0 to 1-year-old) - male,Post,Inferred from classname
Infants (0 yrs),Post,Inferred from classname
Juvenile,Look up,
Juvenile (< 1 year old),Post,Inferred from classname
Juvenile (< 1 year),Post,Inferred from classname
Juvenile (² 1 year),Look up,
Juvenile (0-1 year),Post,Inferred from classname
Juvenile (0-1 yrs),Post,Inferred from classname
Juvenile female,Look up,
Juveniles,Look up,
